run_id,manifest_path,model,task_id,status,official_process,official_result,official_comment,metric_source,grade_result_path,query_path
20260401-qwen25-14b-trafilatura-smoke2,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-qwen25-14b-trafilatura-smoke2/run_manifest.json,Qwen2.5-14B-Instruct,Trafilatura_02,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_02/query.json
20260401-open8gpu-fullbench-v4-gpu02,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu02/run_manifest.json,Qwen2.5-32B-Instruct,Trafilatura_02,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_02/query.json
20260401-open8gpu-fullbench-v4-gpu00,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu00/run_manifest.json,Qwen__Qwen2.5-7B-Instruct,Trafilatura_02,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_02/query.json
20260401-open8gpu-fullbench-v4-gpu03,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu03/run_manifest.json,Qwen__Qwen3-14B,Trafilatura_02,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_02/query.json
20260401-open8gpu-fullbench-v4-gpu04,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu04/run_manifest.json,Qwen__Qwen3-32B,Trafilatura_02,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_02/query.json
20260401-open8gpu-fullbench-v4-gpu05,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu05/run_manifest.json,deepseek-ai__DeepSeek-R1-Distill-Llama-8B,Trafilatura_02,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_02/query.json
20260331-gemini25-trafilatura-v3,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260331-gemini25-trafilatura-v3/run_manifest.json,gemini-2.5-pro-preview-06-05,Trafilatura_02,graded,True,True,Edit Distance Ratio: 0.4501 meets 50% accuracy requirement,grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260331-gemini25-trafilatura-v3/gemini-2.5-pro-preview-06-05/Trafilatura_02/grade/Trafilatura_02/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_02/query.json
20260331-gpt52-trafilatura-screen-v3,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260331-gpt52-trafilatura-screen-v3/run_manifest.json,gpt-5.2-2025-12-11,Trafilatura_02,graded,True,True,Edit Distance Ratio: 0.4514 meets 50% accuracy requirement,grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260331-gpt52-trafilatura-screen-v3/gpt-5.2-2025-12-11/Trafilatura_02/grade/Trafilatura_02/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_02/query.json
20260401-open8gpu-fullbench-v4-gpu06,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu06/run_manifest.json,mistralai__Mistral-7B-Instruct-v0.2,Trafilatura_02,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_02/query.json
20260401-open8gpu-fullbench-v4-gpu07,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu07/run_manifest.json,mistralai__Mistral-Small-3.1-24B-Instruct-2503,Trafilatura_02,grade_failed_retrying,False,False,,implicit_failed_before_grading,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu07/__mnt__bn__xsc-f1526e9f__yongkang__workspace__.memory_guard_lab__model_store__mistralai__Mistral-Small-3.1-24B-Instruct-2503/Trafilatura_02/grade/Trafilatura_02/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_02/query.json
